epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.2128,1.39877,2.31453,1.49775,0.81278,0.83621,0.8312,0.3417,1.85866,2.44834,1.40847,0.0669435,0.000166113,0.000166113
2,74.484,1.33485,2.23579,1.44688,0.83501,0.85284,0.85117,0.37469,1.7999,2.19166,1.36801,0.0337765,0.000332455,0.000332455
3,110.457,1.31881,2.18925,1.43689,0.85135,0.85742,0.86302,0.3859,1.70855,2.07547,1.27927,0.000608239,0.000497497,0.000497497
4,178.555,1.29064,2.14689,1.42602,0.78663,0.6506,0.72222,0.27288,2.13444,3.2673,1.58083,0.000495616,0.000495616,0.000495616
5,261.009,1.27741,2.08579,1.40932,0.76667,0.82283,0.80786,0.36434,1.80447,2.33243,1.36081,0.000492224,0.000492224,0.000492224
6,341.534,1.26369,2.04872,1.39047,0.82295,0.85097,0.84691,0.37917,1.85324,2.10281,1.36458,0.000487886,0.000487886,0.000487886
7,424.017,1.23799,1.96699,1.37402,0.81238,0.82636,0.85032,0.38145,1.83083,2.16777,1.33287,0.00048262,0.00048262,0.00048262
8,505.86,1.23914,1.97593,1.37182,0.77303,0.84763,0.84203,0.38623,1.8268,2.06179,1.34161,0.000476445,0.000476445,0.000476445
9,586.576,1.22505,1.91761,1.36535,0.81094,0.83292,0.81547,0.36975,1.77551,2.22084,1.37532,0.000469386,0.000469386,0.000469386
10,674.786,1.2064,1.90943,1.35438,0.84571,0.84221,0.84286,0.35523,1.87673,2.09049,1.39096,0.000461471,0.000461471,0.000461471
11,766.451,1.20814,1.87867,1.35056,0.84096,0.83879,0.84416,0.36064,1.95726,2.14402,1.38925,0.000452732,0.000452732,0.000452732
12,849.033,1.18401,1.83824,1.33715,0.87659,0.86516,0.87709,0.38577,1.87064,1.93228,1.35444,0.000443202,0.000443202,0.000443202
13,933.554,1.17018,1.81024,1.32814,0.87974,0.87261,0.87308,0.38293,1.80139,2.0444,1.33221,0.00043292,0.00043292,0.00043292
14,986.477,1.174,1.82423,1.32802,0.87494,0.86471,0.85657,0.39686,1.75702,2.05547,1.31277,0.000421925,0.000421925,0.000421925
15,1021.97,1.16622,1.79707,1.32382,0.88183,0.87107,0.86785,0.39184,1.85727,2.02528,1.3432,0.000410262,0.000410262,0.000410262
16,1057.73,1.16145,1.78206,1.31747,0.85204,0.86848,0.86598,0.40647,1.80688,2.07838,1.31446,0.000397977,0.000397977,0.000397977
17,1093.76,1.15681,1.75616,1.315,0.86936,0.87884,0.87514,0.43016,1.68151,2.02007,1.27731,0.000385117,0.000385117,0.000385117
18,1129.4,1.1508,1.75485,1.30884,0.87334,0.838,0.83476,0.37896,1.8319,2.11096,1.37651,0.000371734,0.000371734,0.000371734
19,1164.96,1.15118,1.73027,1.30797,0.86073,0.8491,0.86079,0.38947,1.84837,2.03168,1.33434,0.00035788,0.00035788,0.00035788
20,1200.75,1.13139,1.70562,1.29838,0.87111,0.87582,0.86224,0.41584,1.76052,2.03324,1.31787,0.000343611,0.000343611,0.000343611
21,1237.04,1.1357,1.68709,1.29473,0.87313,0.87512,0.84735,0.38298,1.85122,1.9298,1.35632,0.000328982,0.000328982,0.000328982
22,1273.68,1.12305,1.69241,1.29728,0.82063,0.82551,0.81417,0.35821,1.95474,2.12265,1.42277,0.000314051,0.000314051,0.000314051
23,1327.56,1.12011,1.69916,1.28591,0.83397,0.82724,0.81403,0.36334,1.94908,2.03427,1.43778,0.000298877,0.000298877,0.000298877
24,1380.11,1.11304,1.67271,1.28384,0.84374,0.84437,0.82987,0.37103,1.87287,2.17521,1.39373,0.00028352,0.00028352,0.00028352
25,1415.84,1.10932,1.63244,1.2766,0.86106,0.87489,0.85772,0.39771,1.7849,1.93255,1.35671,0.000268041,0.000268041,0.000268041
26,1465.57,1.09498,1.63355,1.26696,0.88304,0.87045,0.84059,0.37229,1.81308,2.00406,1.36982,0.0002525,0.0002525,0.0002525
27,1509.96,1.10185,1.64036,1.28324,0.86028,0.86445,0.84097,0.39784,1.77259,1.99509,1.33873,0.000236959,0.000236959,0.000236959
